epoch,loss,val_loss
0,0.23320885002613068,NA
1,0.02711452916264534,NA
2,0.012927154079079628,NA
3,0.007618866860866547,NA
4,0.005166207440197468,NA
5,0.004080607555806637,NA
6,0.0033439835533499718,NA
7,0.0027728830464184284,NA
8,0.0025611117016524076,NA
9,0.002324947388842702,NA
10,0.0021431853529065847,NA
11,0.0019967681728303432,NA
12,0.0018884012242779136,NA
13,0.0017401055665686727,NA
14,0.0016918241744861007,NA
15,0.0015755727654322982,NA
16,0.0015163456555455923,NA
17,0.0014925069408491254,NA
18,0.0013884701766073704,NA
19,0.0013034261064603925,NA
20,0.0012724671978503466,NA
21,0.0012446492910385132,NA
22,0.0011794466990977526,NA
23,0.0011855973862111568,NA
24,0.0010792227694764733,NA
25,0.0010479934280738235,NA
26,0.0010591130703687668,NA
27,0.0011301720514893532,NA
28,0.0009329176973551512,NA
29,0.0009324908605776727,NA
